country,target domain,CLS,LCP,FID,OSI,category
UK,https://www.alamo.co.uk/en/home.html,0.0241,1537.608,107,1946.7,car rentals
UK,https://www.carjet.com/cheap-car-rental/index.htm,0.0018,1650.1531,293,2962.4,car rentals
UK,https://www.economycarrentals.com/de-DE?c=DE,0.0004,1092.73,201,1143.8,car rentals
UK,https://rentalcover.com/en/,0.0169,1658.7235,178,958.7,car rentals
UK,https://www.enterprise.com/en/home.html,0.0172,1742.8664,190,3390.6,car rentals
UK,https://www.airporttaxis-uk.co.uk/,0.0071,2261.6185,77,1272.1,car rentals
UK,https://cars.easyjet.com/,0.006,1532.1529,211,1828,car rentals
UK,https://avisworld.com/,0,1115.192,127,1004.7,car rentals
UK,https://www.carflexi.com/de-DE?c=DE,0.0001,924.276,122,1023,car rentals
UK,https://www.vwfsrentacar.co.uk/,0.0004,1245.231,184,1169.4,car rentals
UK,https://www.stressfreecarrental.com/,0.0002,1581.3096,88,1252.7,car rentals
UK,https://www.hertz247.co.uk/UK/Home,0.3617,2541.6165,172,2444.3,car rentals
UK,https://www.orbitcarhire.com/,0.0114,2991.3145,372,1583.6,car rentals
UK,https://www.vipcars.com/,0,1331.26,215,1529.4,car rentals
UK,https://www.co-wheels.org.uk/,0.0104,2723.1627,635,2746.7,car rentals
UK,https://www.discovercars.com/,0.022,2625.5248,183,2250.2,car rentals
UK,https://corporate.cartrawler.com/en-gb/,0.0497,3291.6701,92,3666.8,car rentals
UK,https://autoreisen.com/car-hire/car-hire.php,0.1139,1656.9364,99,1122.6,car rentals
UK,https://www.holidayautos.com/,0.2209,2461.636,377,2479.3,car rentals
UK,https://www.moneymaxim.co.uk/,0.0059,1298.642,326,1290,car rentals
UK,https://nationwidehireuk.co.uk/,0.0015,1848.2393,105,1787.5,car rentals
UK,https://www.hertz.com/rentacar/reservation/,0.0868,5114.4822,935,5489.6,car rentals
UK,https://www.icarhireinsurance.com/,0.0262,992.7731,61,2853.6,car rentals
UK,https://www.autoeurope.com/,0.0129,3379.1885,1017,3406,car rentals
UK,https://www.arnoldclarkrental.com/,0.0134,1720.4845,173,2476.3,car rentals
UK,https://www.enjoytravel.com/us,0.0008,1281.8548,123,1503.5,car rentals
UK,https://www.driiveme.co.uk/,0.0102,1846.44,100,1270,car rentals
UK,https://www.europcar.co.uk/en-gb,0.0297,3671.585,846,3317.3,car rentals
UK,https://rentcars.com/,,,,,car rentals
UK,https://govirtuo.com/,,,,,car rentals
UK,https://www.cicar.com/,0.14,4128.4886,83,2743.2,car rentals
UK,https://www.goldcar.com/es-es/,0.1352,1592.238,105,2234.2,car rentals
UK,https://www.zipcar.com/,0.0291,1990.7582,453,2455.7,car rentals
UK,https://okmobility.com/en/,0.0743,619.041,264,4478.3,car rentals
UK,https://questor-insurance.co.uk/,0,1081.3285,299,867,car rentals
UK,https://www.enterprisecarclub.co.uk/gb/en/home.html,0.0756,2740.113,230,3179.3,car rentals
UK,https://www.holidaycars.com/,0,1389.437,152,1337.9,car rentals
UK,https://www.thrifty.co.uk/,0.1307,2454.839,267,1419.1,car rentals
UK,https://www.doyouspain.com/index.htm,0.0287,1575.8975,290,2156.4,car rentals
UK,https://indiecampers.com/,0.002,1052.6553,170,1312.4,car rentals
