country,target,year,month,etv,count,category,subcategory
UK,indiecampers.co.uk,2025,1,326796.5883,8415,car rentals,
UK,budget.com,2025,1,152651.0085,28216,car rentals,
UK,hertz.co.uk,2025,1,3927949.465,61102,car rentals,
UK,enterprise.co.uk,2025,1,8702650.186,110530,car rentals,
UK,zipcar.co.uk,2025,1,15173.84229,982,car rentals,
UK,alamo.co.uk,2025,1,589946.7337,18912,car rentals,
UK,carjet.com,2025,1,76582.53489,20094,car rentals,
UK,economycarrentals.com,2025,1,44744.87002,11156,car rentals,
UK,rentalcover.com,2025,1,19911.18298,1636,car rentals,
UK,enterprise.com,2025,1,391682.4009,26595,car rentals,
UK,ots-system.net,2025,1,1719.183738,43,car rentals,
UK,cars.booking.com,2025,1,53.40400038,102,car rentals,
UK,cars.easyjet.com,2025,1,16214.54913,767,car rentals,
UK,avisworld.com,2025,1,25079.18533,1921,car rentals,
UK,carflexi.com,2025,1,29501.61602,9787,car rentals,
UK,vwfsrentacar.co.uk,2025,1,140797.7572,7288,car rentals,
UK,stressfreecarrental.com,2025,1,185437.9494,29754,car rentals,
UK,mancoll.sharepoint.com,2025,1,0.3569999933,1,car rentals,
UK,hertz247.com,2025,1,978.2480013,105,car rentals,
UK,orbitcarhire.com,2025,1,115902.8929,18497,car rentals,
UK,vipcars.com,2025,1,101591.8157,24704,car rentals,
UK,co-wheels.org.uk,2025,1,49931.51428,3627,car rentals,
UK,discovercars.com,2025,1,204297.1088,30658,car rentals,
UK,securewebbookings.com,2025,1,0.1889999956,1,car rentals,
UK,cartrawler.com,2025,1,1322.770261,130,car rentals,
UK,autoreisen.com,2025,1,83523.63242,1596,car rentals,
UK,rentalcars.com,2025,1,3312271.777,58194,car rentals,
UK,holidayautos.com,2025,1,215456.7764,11287,car rentals,
UK,moneymaxim.co.uk,2025,1,58334.50873,11411,car rentals,
UK,nationwidehireuk.co.uk,2025,1,130890.8763,7935,car rentals,
UK,hertz.com,2025,1,165814.7365,32606,car rentals,
UK,icarhireinsurance.com,2025,1,54320.80353,1605,car rentals,
