country,target,year,month,new_referring_main_domains,referring_main_domains,category,subcategory
UK,turo.com,2025,1,907,20831,car rentals,
UK,fusemetrix.com,2025,1,25,567,car rentals,
UK,zestcarrental.com,2025,1,48,1113,car rentals,
UK,greenmotion.com,2025,1,37,1428,car rentals,
UK,hertz.com,2025,1,622,26414,car rentals,
UK,holidayautos.com,2025,1,29,1448,car rentals,
UK,vipcars.com,2025,1,34,1346,car rentals,
UK,sennheiser-hearing.com,2025,1,191,5235,car rentals,
UK,lrparts.net,2025,1,14,667,car rentals,
UK,enterprisecarclub.co.uk,2025,1,20,945,car rentals,
UK,securewebbookings.com,2025,1,8,101,car rentals,
UK,securebookingpage.com,2025,1,10,99,car rentals,
UK,holidaystravel.info,2025,1,0,32,car rentals,
UK,qeeq.com,2025,1,54,1680,car rentals,
UK,suntransfers.com,2025,1,32,1274,car rentals,
UK,sixt.com,2025,1,421,13319,car rentals,
UK,economybookings.com,2025,1,60,2074,car rentals,
UK,prmediaco.sharepoint.com,2025,1,0,0,car rentals,
UK,budget.co.uk,2025,1,23,1078,car rentals,
UK,arnoldclarkrental.com,2025,1,29,651,car rentals,
UK,avis.com,2025,1,601,23048,car rentals,
UK,gotrentalcars.com,2025,1,9,207,car rentals,
UK,carjet.com,2025,1,28,816,car rentals,
UK,autorentals.com,2025,1,45,1116,car rentals,
UK,enjoytravel.com,2025,1,98,5197,car rentals,
UK,thrifty.co.uk,2025,1,19,1162,car rentals,
UK,airporttaxis-uk.co.uk,2025,1,10,529,car rentals,
UK,stressfreecarrental.com,2025,1,43,2087,car rentals,
UK,cartrawler.com,2025,1,105,3255,car rentals,
UK,practical.co.uk,2025,1,9,713,car rentals,
UK,autoreisen.com,2025,1,19,884,car rentals,
UK,doyouspain.com,2025,1,26,1277,car rentals,
UK,europcar.com,2025,1,146,8204,car rentals,
UK,goboony.co.uk,2025,1,16,860,car rentals,
UK,alamo.co.uk,2025,1,14,995,car rentals,
UK,cars.easyjet.com,2025,1,0,95,car rentals,
UK,economycarrentals.com,2025,1,41,1501,car rentals,
UK,transfeero.com,2025,1,19,392,car rentals,
UK,drivalia.co.uk,2025,1,16,289,car rentals,
UK,holidaycars.com,2025,1,36,1450,car rentals,
UK,goldcar.es,2025,1,36,2432,car rentals,
UK,driiveme.co.uk,2025,1,13,239,car rentals,
UK,enterprise.com,2025,1,860,31649,car rentals,
UK,easycar.com,2025,1,35,1838,car rentals,
UK,mancoll.sharepoint.com,2025,1,0,4,car rentals,
UK,ots-system.net,2025,1,1,50,car rentals,
UK,centauro.net,2025,1,38,1632,car rentals,
UK,kendallcars.com,2025,1,20,642,car rentals,
UK,arguscarhire.com,2025,1,19,942,car rentals,
UK,budget.com,2025,1,569,20643,car rentals,
UK,cicar.com,2025,1,48,2003,car rentals,
UK,co-wheels.org.uk,2025,1,27,783,car rentals,
UK,indiecampers.co.uk,2025,1,16,280,car rentals,
UK,reducemyexcess.co.uk,2025,1,7,269,car rentals,
UK,hiyacar.co.uk,2025,1,16,765,car rentals,
UK,nationwidehireuk.co.uk,2025,1,4,243,car rentals,
UK,zipcar.co.uk,2025,1,10,713,car rentals,
UK,orbitcarhire.com,2025,1,26,459,car rentals,
UK,bipicar.com,2025,1,16,605,car rentals,
UK,harrowschool-my.sharepoint.com,2025,1,0,1,car rentals,
UK,carflexi.com,2025,1,32,1,car rentals,
UK,okmobility.com,2025,1,28,1,car rentals,
UK,alamo.com,2025,1,156,1,car rentals,
UK,recordrentacar.com,2025,1,37,1,car rentals,
UK,indiecampers.com,2025,1,62,1,car rentals,
UK,hertz247.com,2025,1,11,1,car rentals,
UK,hertz247.co.uk,2025,1,9,1,car rentals,
UK,gwtrains-my.sharepoint.com,2025,1,0,1,car rentals,
UK,rentalcover.com,2025,1,22,1,car rentals,
UK,questor-insurance.co.uk,2025,1,9,1,car rentals,
UK,rentalcar.com,2025,1,17,1,car rentals,
UK,carhireexcess.co.uk,2025,1,2,1,car rentals,
UK,govirtuo.com,2025,1,18,1,car rentals,
UK,northgatevehiclehire.co.uk,2025,1,18,1,car rentals,
UK,autoeurope.com,2025,1,144,1,car rentals,
UK,top-car-hire.com,2025,1,19,1,car rentals,
UK,moneymaxim.co.uk,2025,1,12,1,car rentals,
UK,avisworld.com,2025,1,33,1,car rentals,
UK,rentcars.com,2025,1,124,1,car rentals,
UK,carrental8.com,2025,1,21,1,car rentals,
UK,budgetcampervans.com,2025,1,13,1,car rentals,
UK,liftshare.com,2025,1,41,1,car rentals,
UK,blablacar.com,2025,1,121,1,car rentals,
UK,vwfsrentacar.co.uk,2025,1,6,1,car rentals,
UK,icarhireinsurance.com,2025,1,16,1,car rentals,
UK,starrluxurycars.com,2025,1,23,1,car rentals,
US,enterprise.com,2025,1,860,31649,car rentals,
US,hertz.com,2025,1,622,26414,car rentals,
US,avis.com,2025,1,601,23048,car rentals,
US,turo.com,2025,1,907,20831,car rentals,
US,budget.com,2025,1,569,20643,car rentals,
US,nationalcar.com,2025,1,142,7311,car rentals,
US,cars.booking.com,2025,1,6,123,car rentals,
US,sixt.com,2025,1,421,13319,car rentals,
US,alamo.com,2025,1,156,8564,car rentals,
US,rvshare.com,2025,1,263,11562,car rentals,
US,outdoorsy.com,2025,1,243,8060,car rentals,
US,rentalcars.com,2025,1,262,15475,car rentals,
US,dollar.com,2025,1,121,6993,car rentals,
US,thrifty.com,2025,1,145,7447,car rentals,
US,economybookings.com,2025,1,60,2074,car rentals,
US,zipcar.com,2025,1,218,12968,car rentals,
US,enterprisetrucks.com,2025,1,68,2150,car rentals,
US,usaaperks.com,2025,1,5,146,car rentals,
US,autorentals.com,2025,1,45,1116,car rentals,
US,sennheiser-hearing.com,2025,1,191,5235,car rentals,
US,carrentals.com,2025,1,58,3239,car rentals,
US,foxrentacar.com,2025,1,74,2497,car rentals,
US,autoslash.com,2025,1,151,5394,car rentals,
US,discovercars.com,2025,1,271,8366,car rentals,
US,europcar.com,2025,1,146,8204,car rentals,
US,cars-rentals.com,2025,1,6,39,car rentals,
US,ltschat.com,2025,1,4,138,car rentals,
US,rentalcar.com,2025,1,17,662,car rentals,
US,aadvantagecars.com,2025,1,6,45,car rentals,
US,pixing-origuling.com,2025,1,6,112,car rentals,
US,bandago.com,2025,1,23,604,car rentals,
US,cars.united.com,2025,1,1,93,car rentals,
US,tollpassgo.com,2025,1,10,65,car rentals,
US,carrental.com,2025,1,21,555,car rentals,
US,travel.benefithub.com,2025,1,0,0,car rentals,
US,kyte.com,2025,1,31,1098,car rentals,
US,qeeq.com,2025,1,54,1680,car rentals,
US,getaround.com,2025,1,160,9282,car rentals,
US,rentalcover.com,2025,1,22,1136,car rentals,
US,abgcustomerservice.com,2025,1,6,173,car rentals,
US,travelpricedrops.com,2025,1,9,170,car rentals,
US,wesalute.com,2025,1,25,1411,car rentals,
US,cartrawler.com,2025,1,105,3255,car rentals,
US,autoeurope.com,2025,1,144,7290,car rentals,
US,paylesscar.com,2025,1,48,2580,car rentals,
US,lostreturns.com,2025,1,9,292,car rentals,
US,indiecampers.com,2025,1,62,1494,car rentals,
US,airportrentalcars.com,2025,1,15,872,car rentals,
US,hqrentals.app,2025,1,8,197,car rentals,
US,rentcentric.com,2025,1,20,613,car rentals,
US,carrental8.com,2025,1,21,565,car rentals,
US,rent-off.com,2025,1,6,77,car rentals,
US,acerentacar.com,2025,1,37,1246,car rentals,
US,nucarrentals.com,2025,1,30,938,car rentals,
US,platepass.com,2025,1,10,411,car rentals,
US,carsearchdirect.com,2025,1,7,177,car rentals,
US,transfeero.com,2025,1,19,392,car rentals,
US,rentcars.com,2025,1,124,4746,car rentals,
US,escapecampervans.com,2025,1,65,1945,car rentals,
US,localiza.com,2025,1,84,2884,car rentals,
US,enjoytravel.com,2025,1,98,5197,car rentals,
US,discounthawaiicarrental.com,2025,1,64,1460,car rentals,
US,flyspirit.sharepoint.com,2025,1,0,7,car rentals,
US,enterprise.ca,2025,1,63,3015,car rentals,
US,lafayettelimo.com,2025,1,11,289,car rentals,
US,gorvrentals.com,2025,1,47,741,car rentals,
US,wisecars.com,2025,1,25,700,car rentals,
US,emeraldclub.com,2025,1,9,353,car rentals,
US,ehipromos.com,2025,1,6,137,car rentals,
US,rentalperks.com,2025,1,61,1540,car rentals,
US,avis.ca,2025,1,44,1697,car rentals,
US,hertzlistens.com,2025,1,7,125,car rentals,
US,economyrentacar.com,2025,1,23,715,car rentals,
US,gmmunrthctatrhf4lehe6paigcs.sharepoint.com,2025,1,0,1,car rentals,
US,imoova.com,2025,1,20,925,car rentals,
US,roamly.com,2025,1,21,511,car rentals,
US,arguscarhire.com,2025,1,19,942,car rentals,
US,e-tolls.com,2025,1,13,134,car rentals,
US,gotrentalcars.com,2025,1,9,207,car rentals,
US,hertz.ca,2025,1,22,937,car rentals,
US,harmonymdm.com,2025,1,5,16,car rentals,
US,wheelbasepro.com,2025,1,20,417,car rentals,
US,yalla-live.in,2025,1,12,130,car rentals,
US,elmonterv.com,2025,1,53,2549,car rentals,
US,carrentalexpress.com,2025,1,18,862,car rentals,
US,cars.cartrawler.com,2025,1,53,886,car rentals,
US,avisbudget.com,2025,1,6,128,car rentals,
US,pclncdn.com,2025,1,8,404,car rentals,
US,adobecar.com,2025,1,28,886,car rentals,
US,caagcrm.com,2025,1,9,137,car rentals,
US,enterprisecarshare.com,2025,1,19,1176,car rentals,
US,bluecarrental.is,2025,1,22,986,car rentals,
US,rentgreenvans.com,2025,1,20,300,car rentals,
US,savaari.com,2025,1,83,2789,car rentals,
UK,skyscanner.net,2025,1,613,22902,air travel,
UK,britishairways.com,2025,1,954,38525,air travel,
UK,easyjet.com,2025,1,1124,39253,air travel,
UK,ryanair.com,2025,1,1080,46596,air travel,
UK,autocab365.com,2025,1,3,51,air travel,
UK,ba.com,2025,1,157,8183,air travel,
UK,jet2.com,2025,1,532,9198,air travel,
UK,virginatlantic.com,2025,1,723,19702,air travel,
UK,emirates.com,2025,1,1363,39538,air travel,
UK,wizzair.com,2025,1,705,20234,air travel,
UK,qatarairways.com,2025,1,819,29694,air travel,
UK,heathrow.com,2025,1,551,13643,air travel,
UK,flightaware.com,2025,1,1104,31074,air travel,
UK,headforpoints.com,2025,1,175,4540,air travel,
UK,cheapflights.co.uk,2025,1,73,3379,air travel,
UK,shopping.ba.com,2025,1,17,95,air travel,
UK,gatwickairport.com,2025,1,290,9102,air travel,
UK,klm.co.uk,2025,1,26,914,air travel,
UK,coolnagour.com,2025,1,4,94,air travel,
UK,baplc.com,2025,1,12,346,air travel,
UK,icabbidispatch.com,2025,1,11,269,air travel,
UK,turkishairlines.com,2025,1,631,31637,air travel,
UK,etihad.com,2025,1,778,20962,air travel,
UK,aerlingus.com,2025,1,242,12466,air travel,
UK,airindia.com,2025,1,236,9608,air travel,
UK,lufthansa.com,2025,1,860,36136,air travel,
UK,skyscanner.com,2025,1,531,19139,air travel,
UK,caa.co.uk,2025,1,317,15940,air travel,
UK,manchesterairport.co.uk,2025,1,545,7339,air travel,
UK,gotogate.co.uk,2025,1,14,285,air travel,
UK,mytrip.com,2025,1,35,1122,air travel,
UK,cathaypacific.com,2025,1,590,23803,air travel,
UK,flyertalk.com,2025,1,420,19109,air travel,
UK,stanstedairport.com,2025,1,341,6390,air travel,
UK,singaporeair.com,2025,1,680,25787,air travel,
UK,vueling.com,2025,1,291,13405,air travel,
UK,saudia.com,2025,1,396,9413,air travel,
UK,flightstats.com,2025,1,407,10564,air travel,
UK,klm.com,2025,1,447,24463,air travel,
UK,airfrance.co.uk,2025,1,33,1946,air travel,
UK,shop.lufthansa.com,2025,1,7,63,air travel,
UK,aa.com,2025,1,1563,45791,air travel,
UK,purpleparking.com,2025,1,25,981,air travel,
UK,flypgs.com,2025,1,431,12855,air travel,
UK,amadeus.com,2025,1,203,10967,air travel,
UK,purpleportal.net,2025,1,20,492,air travel,
UK,exeter-airport.co.uk,2025,1,37,1576,air travel,
UK,aircanada.com,2025,1,880,31869,air travel,
UK,london-luton.co.uk,2025,1,91,4447,air travel,
UK,amadeus.net,2025,1,88,4135,air travel,
UK,delta.com,2025,1,1637,58266,air travel,
UK,bristolairport.co.uk,2025,1,70,3101,air travel,
UK,iberia.com,2025,1,315,19909,air travel,
UK,edinburghairport.com,2025,1,186,3896,air travel,
UK,wanderlog.com,2025,1,1048,13092,air travel,
UK,united.com,2025,1,1433,48188,air travel,
UK,businesstraveller.com,2025,1,427,16962,air travel,
UK,flynorse.com,2025,1,78,1989,air travel,
UK,birminghamairport.co.uk,2025,1,99,3589,air travel,
UK,miles-and-more.com,2025,1,85,3588,air travel,
UK,swiss.com,2025,1,387,15982,air travel,
UK,qantas.com,2025,1,669,25568,air travel,
UK,finnair.com,2025,1,260,15707,air travel,
UK,flysas.com,2025,1,238,10698,air travel,
UK,americanairlines.co.uk,2025,1,29,1097,air travel,
UK,loganair.co.uk,2025,1,70,3096,air travel,
UK,norwegian.com,2025,1,176,13581,air travel,
UK,goindigo.in,2025,1,619,10871,air travel,
UK,flytap.com,2025,1,307,15988,air travel,
UK,seatspy.com,2025,1,27,334,air travel,
UK,aegeanair.com,2025,1,278,12085,air travel,
UK,travel.americanexpress.co.uk,2025,1,1,117,air travel,
UK,cartwrightcommunications.sharepoint.com,2025,1,0,15,air travel,
UK,prioritypass.com,2025,1,287,7694,air travel,
UK,visitsaudi.com,2025,1,259,7202,air travel,
UK,lawhive.co.uk,2025,1,40,483,air travel,
UK,flightconnections.com,2025,1,152,4470,air travel,
UK,visaforchina.cn,2025,1,96,2302,air travel,
UK,shop.swiss.com,2025,1,1,35,air travel,
UK,crane.aero,2025,1,22,782,air travel,
UK,ethiopianairlines.com,2025,1,339,10467,air travel,
UK,gulfair.com,2025,1,123,5632,air travel,
UK,traveltrolley.co.uk,2025,1,12,552,air travel,
UK,mediaalpha.com,2025,1,36,1451,air travel,
UK,flightcentre.co.uk,2025,1,63,2316,air travel,
UK,leedsbradfordairport.co.uk,2025,1,36,1859,air travel,
UK,skyparksecure.com,2025,1,51,1583,air travel,
UK,thaiairways.com,2025,1,348,12212,air travel,
UK,avinode.com,2025,1,13,422,air travel,
UK,onemileatatime.com,2025,1,579,19461,air travel,
UK,esky.co.uk,2025,1,9,421,air travel,
UK,icelandair.com,2025,1,281,12115,air travel,
UK,flightnetwork.com,2025,1,352,4569,air travel,
UK,airasia.com,2025,1,530,28117,air travel,
UK,iairgroup.com,2025,1,56,2584,air travel,
UK,ceair.com,2025,1,218,7740,air travel,
UK,netflights.com,2025,1,135,2789,air travel,
UK,malaysiaairlines.com,2025,1,308,16638,air travel,
UK,x-onweb.com,2025,1,4,44,air travel,
UK,aviasales.ru,2025,1,163,8284,air travel,
US,aa.com,2025,1,1563,45791,air travel,
US,delta.com,2025,1,1637,58266,air travel,
US,southwest.com,2025,1,1021,37479,air travel,
US,united.com,2025,1,1433,48188,air travel,
US,alaskaair.com,2025,1,878,25527,air travel,
US,flightaware.com,2025,1,1104,31074,air travel,
US,jetblue.com,2025,1,836,26059,air travel,
US,flyfrontier.com,2025,1,574,13505,air travel,
US,spirit.com,2025,1,652,14348,air travel,
US,skyscanner.com,2025,1,531,19139,air travel,
US,allegiantair.com,2025,1,278,10219,air travel,
US,cheapoair.com,2025,1,141,6995,air travel,
US,aircanada.com,2025,1,880,31869,air travel,
US,britishairways.com,2025,1,954,38525,air travel,
US,mediaalpha.com,2025,1,36,1451,air travel,
US,hawaiianairlines.com,2025,1,279,9614,air travel,
US,justfly.com,2025,1,35,1363,air travel,
US,qatarairways.com,2025,1,819,29694,air travel,
US,emirates.com,2025,1,1363,39538,air travel,
US,aadvantageeshopping.com,2025,1,34,1233,air travel,
US,turkishairlines.com,2025,1,631,31637,air travel,
US,flyertalk.com,2025,1,420,19109,air travel,
US,lufthansa.com,2025,1,860,36136,air travel,
US,virginatlantic.com,2025,1,723,19702,air travel,
US,ual.com,2025,1,38,2126,air travel,
US,flybreeze.com,2025,1,97,2833,air travel,
US,wanderlog.com,2025,1,1048,13092,air travel,
US,airfrance.us,2025,1,202,4623,air travel,
US,onemileatatime.com,2025,1,579,19461,air travel,
US,upgradedpoints.com,2025,1,969,24958,air travel,
US,seats.aero,2025,1,29,550,air travel,
US,shop.greyhound.com,2025,1,8,86,air travel,
US,volaris.com,2025,1,135,5527,air travel,
US,avianca.com,2025,1,250,11318,air travel,
US,skiplagged.com,2025,1,91,3555,air travel,
US,cathaypacific.com,2025,1,590,23803,air travel,
US,shop.lufthansa.com,2025,1,7,63,air travel,
US,ana.co.jp,2025,1,1024,38930,air travel,
US,clearme.com,2025,1,259,6647,air travel,
US,koreanair.com,2025,1,485,16150,air travel,
US,mylimobiz.com,2025,1,131,4635,air travel,
US,flightstats.com,2025,1,407,10564,air travel,
US,singaporeair.com,2025,1,680,25787,air travel,
US,aveloair.com,2025,1,99,2838,air travel,
US,mileageplus.com,2025,1,50,1951,air travel,
US,jal.co.jp,2025,1,798,36114,air travel,
US,shopping.hawaiianairlines.com,2025,1,0,4,air travel,
US,airindia.com,2025,1,236,9608,air travel,
US,klm.com,2025,1,447,24463,air travel,
US,latamairlines.com,2025,1,263,10413,air travel,
US,viewfromthewing.com,2025,1,333,8272,air travel,
US,evaair.com,2025,1,354,10418,air travel,
US,prioritypass.com,2025,1,287,7694,air travel,
US,amadeus.com,2025,1,203,10967,air travel,
US,pointsyeah.com,2025,1,21,231,air travel,
US,asaptickets.com,2025,1,57,1404,air travel,
US,etihad.com,2025,1,778,20962,air travel,
US,travelextras-delta.com,2025,1,12,355,air travel,
US,flica.net,2025,1,5,267,air travel,
US,suncountry.com,2025,1,134,4521,air travel,
US,copaair.com,2025,1,192,8279,air travel,
US,aeromexico.com,2025,1,208,9876,air travel,
US,awardwallet.com,2025,1,194,4959,air travel,
US,vivaaerobus.com,2025,1,243,3974,air travel,
US,point.me,2025,1,76,1370,air travel,
US,flightconnections.com,2025,1,152,4470,air travel,
US,miles-and-more.com,2025,1,85,3588,air travel,
US,iberia.com,2025,1,315,19909,air travel,
US,cheapfareguru.com,2025,1,12,380,air travel,
US,airfrance.com,2025,1,188,12622,air travel,
US,shopping.mileageplus.com,2025,1,9,667,air travel,
US,flyasiana.com,2025,1,227,8634,air travel,
US,aerlingus.com,2025,1,242,12466,air travel,
US,icelandair.com,2025,1,281,12115,air travel,
US,mondee.com,2025,1,11,449,air travel,
US,boingomedia.com,2025,1,9,137,air travel,
US,goindigo.in,2025,1,619,10871,air travel,
US,flightsfrom.com,2025,1,417,3495,air travel,
US,myidtravel.com,2025,1,14,325,air travel,
US,theexplorercard.com,2025,1,14,795,air travel,
US,jetbluevacations.com,2025,1,40,1206,air travel,
US,hopper.com,2025,1,469,13078,air travel,
US,ryanair.com,2025,1,1080,46596,air travel,
US,china-airlines.com,2025,1,177,9717,air travel,
US,elal.com,2025,1,198,9830,air travel,
US,flylax.com,2025,1,516,7107,air travel,
US,qantas.com,2025,1,669,25568,air travel,
US,flytap.com,2025,1,307,15988,air travel,
US,dfwairport.com,2025,1,185,6767,air travel,
US,shopping.copaair.com,2025,1,0,37,air travel,
US,thriftytraveler.com,2025,1,419,7270,air travel,
US,flighthub.com,2025,1,39,1258,air travel,
US,aadvantagehotels.com,2025,1,11,170,air travel,
US,lifemiles.com,2025,1,37,1171,air travel,
US,skyscanner.net,2025,1,613,22902,air travel,
US,flynorse.com,2025,1,78,1989,air travel,
US,swiss.com,2025,1,387,15982,air travel,
US,skymilesshopping.com,2025,1,28,818,air travel,
US,flysfo.com,2025,1,222,8964,air travel,
UK,microsoftonline.com,2025,1,1876,145721,programming and dev,
UK,chatgpt.com,2025,1,9287,153775,programming and dev,
UK,office.com,2025,1,18304,773061,programming and dev,
UK,microsoft.com,2025,1,68300,2981557,programming and dev,
UK,office365.com,2025,1,1961,78011,programming and dev,
